model,seed,rmse,mae,nasa,params
3koopman,42,18.386425018310547,13.641429901123047,956.8860473632812,1463884
3koopman,43,18.695476531982422,13.531283378601074,1434.943115234375,1463884
3koopman,44,19.73015594482422,14.783482551574707,1187.1492919921875,1463884
proposed,42,20.480493545532227,14.562170028686523,2839.021484375,1468108
proposed,43,18.336029052734375,12.904655456542969,1570.1231689453125,1468108
proposed,44,19.328432083129883,14.376008033752441,901.904541015625,1468108
proposed_nosmooth,42,20.325885772705078,14.688616752624512,2129.3232421875,1468108
proposed_nosmooth,43,18.514877319335938,12.725088119506836,1197.7044677734375,1468108
proposed_nosmooth,44,19.219276428222656,13.92456340789795,1351.071044921875,1468108
proposed_nophysics,42,20.079545974731445,14.752389907836914,1436.4296875,1468108
proposed_nophysics,43,18.528352737426758,13.67671012878418,939.307373046875,1468108
proposed_nophysics,44,19.31319236755371,14.158307075500488,930.5180053710938,1468108
